Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Profession,Notes,Valid?
11303,Vacant,SCS2,HMA Teheran,Representing British interests in Iran,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,N/A,dp-foi.img@fco.gov.uk,11300,0,1,0,0,,Policy,,1
11304,Dominic Asquith,SCS2,HMA Cairo,Representing British interests in Egypt,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,115000,119999,,Policy,,1
11305,Frank Baker,SCS2,HMA Kuwait,Representing British interests in Kuwait,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,85000,89999,,Policy,,1
11306,Simon Collis,SCS2,HMA Damascus,Representing British interests in Syria,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,80000,84999,,Policy,,1
11307,Vincent Fean,SCS2,"Head of Post, Jerusalem",Representing British interests in Israel,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,85000,89999,,Policy,,1
11308,Matthew Gould,SCS2,HMA Tel Aviv,Representing British interests in Israel,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,85000,89999,,Policy,,1
11309,Frances Guy,SCS2,HMA Beirut,Representing British interests in Lebanon,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,85000,89999,,Policy,,1
11310,Dominic Jermey,SCS2,HMA United Arab Emirates,Representing British interests in the UAE,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,85000,89999,,Policy,,1
11311,Peter Millett,SCS2,HMA Amman,Representing British interests in Jordan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,90000,94999,,Policy,,1
11312,Richard Northern,SCS2,HMA Tripoli,Representing British interests in Libya,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,85000,89999,,Policy,,1
11401,Anne Pringle,SCS3,HMA Moscow,Representing British interests in Moscow,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11400,0,1,120000,124999,,Policy,,1
11402,Denis Keefe,SCS2,DHM Moscow,Representing British interests in Moscow,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11400,0,1,85000,89999,,Policy,,1
11403,Leigh Turner,SCS2,"Head of Post, Kiev",Representing British interests in Ukraine,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11400,0,1,85000,89999,,Policy,,1
12201,Nigel Sheinwald,SCS4,HMA Washington,Representing British interests in USA,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,175000,179999,,Policy,,1
12202,Alan Charlton,SCS3,HMA Brasilia,Representing British interests in Brazil,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,115000,119999,,Policy,,1
12203,Dominick Chilcott,SCS2,DHM Washington,Representing British interests in USA,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,85000,89999,,Policy,,1
12204,Alan Collins,SCS2,Consul General and Director General Trade and Investment USA,Supporting UK companies and foreign investment,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,105000,109999,,Policy,,1
12205,John Dew,SCS2,HMA Bogota,Representing British interests in Colombia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,90000,94999,,Policy,,1
12206,Howard Drake,SCS2,HMA Kingston,Representing British interests in Jamaica,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,85000,89999,,Policy,,1
12207,Judith Macgregor,SCS2,HMA Mexico City,Representing British interests in Mexico,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,85000,89999,,Policy,,1
12208,Shan Morgan,SCS2,HMA Buenos Aires,Representing British interests in Argentina,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,90000,94999,,Policy,,1
12209,Catherine Nettleton,SCS2,HMA Caracas,Representing British interests in Venezuela,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,80000,84999,,Policy,,1
12210,Andrew Pocock,SCS2,HMA Ottawa,Representing British interests in Canada,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12200,0,1,90000,94999,,Policy,,1
12301,Simon Smith,SCS2,HMA Vienna and UK Permanent Representative to the UN and other International Organisations in Vienna,Representing British interests in Austria,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12300,0,1,90000,94999,,Policy,,1
12401,Gordon Wetherell,SCS2,Governor of the Turks & Caicos Islands,Governing the overseas territory,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,100000,104999,,Policy,,1
12402,Nigel Haywood,SCS2,"Governor, Falkland Islands Commissioner, South Georgia & South Sandwich Islands",Governing the overseas territory,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,80000,84999,,Policy,,1
13201,Mark Canning,SCS2,HMA Harare,Representing British interests in Zimbabwe,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13200,0,1,80000,84999,,Policy,,1
13202,Nicola Brewer,SCS3,BHC Pretoria,Representing British interests in South Africa,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13200,0,1,135000,139999,,Policy,,1
13201,Andrew Lloyd,SCS3,BHC Abuja,Representing British interests in Nigeria,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13200,0,1,100000,104999,,Policy,,1
13204,Nicholas Kay,SCS2,HMA Khartoum,Representing British interests in Sudan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13200,0,1,80000,84999,,Policy,,1
13205,Norman Ling,SCS2,HMA Addis Ababa,Representing British interests in Ethiopia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13200,0,1,80000,84999,,Policy,,1
13206,Rob Macaire,SCS2,BHC Nairobi,Representing British interests in Kenya,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13200,0,1,90000,94999,,Policy,,1
13301,Kim Darroch,SCS4,UK Permanent Representative to the EU,Representing British interests at the EU,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,170000,174999,,Policy,,1
13302,Andy Lebrecht,SCS3,Deputy Permanent Representative to the EU,Representing British interests at the EU,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,120000,124999,,Policy,,1
13303,Simon Mcdonald,SCS3,HMA Berlin,Representing British interests in Germany,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,125000,129999,,Policy,,1
13304,Giles Paxman,SCS3,HMA Madrid,Representing British interests in Spain,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,110000,114999,,Policy,,1
13305,David Reddaway,SCS3,HMA Ankara,Representing British interests in Turkey,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,110000,114999,,Policy,,1
13306,Peter Westmacott,SCS3,HMA Paris,Representing British interests in France,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,145000,149999,,Policy,,1
13307,Paul Arkwright,SCS2,HMA The Hague,Representing British interests in the Netherlands,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,80000,84999,,Policy,,1
13308,Tim Barrow,SCS2,Political and Security Committee Ambassador to the EU,Representing British interests at the EU,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,90000,94999,,Policy,,1
13309,Valerie Caton,SCS2,UK Nordic Baltic Summit Co-ordinator,UK Nordic Baltic diplomacy,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,105000,109999,,Policy,,1
13310,Michael Davenport,SCS2,HMA Belgrade,Representing British interests in Serbia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,80000,84999,,Policy,,1
13311,Greg Dorey,SCS2,HMA Budapest,Representing British interests at the UN in Geneva,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,85000,89999,,Policy,,1
13312,Peter Gooderham,SCS2,Head of Post UKMIS Geneva,Representing British interests in Hungary,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,90000,94999,,Policy,,1
13313,Adrian Johns,SCS2,"Governor and Commander-in-Chief, Gibraltar",Governing the overseas territory,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,130000,134999,,Policy,,1
13314,Matthew Kidd,SCS2,BHC Nicosia,Representing British interests in Cyprus,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,85000,89999,,Policy,,1
13315,Julian King,SCS2,HMA Dublin,Representing British interests Republic of Ireland,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,85000,89999,,Policy,,1
13316,David Landsman,SCS2,HMA Athens,Representing British interests in Greece,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,85000,89999,,Policy,,1
13317,Andrew Mitchell,SCS2,HMA Stockholm,Representing British interests in Sweden,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,85000,89999,,Policy,,1
13318,Christopher Prentice,SCS2,HMA Rome,Representing British interests in Italy,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,110000,114999,,Policy,,1
13319,Ric Todd,SCS2,HMA Warsaw,Representing British interests in Poland,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13300,0,1,90000,94999,,Policy,,1
13401,David Warren,SCS3,HMA Tokyo,Representing British interests in Japan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,125000,129999,,Policy,,1
13402,Sebastian Wood,SCS3,HMA Beijing,Representing British interests in China,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,130000,134999,,Policy,,1
13403,Asif Ahmad,SCS2,HMA Bangkok,Representing British interests in Thailand,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,80000,84999,,Policy,,1
13404,Simon Featherstone,SCS2,BHC Kuala Lumpur,Representing British interests in Malaysia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,85000,89999,,Policy,,1
13405,David Fitton,SCS2,DHM Tokyo,Representing British interests in Japan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,80000,84999,,Policy,,1
13406,Martin Hatfull,SCS2,HMA Jakarta,Representing British interests in Indonesia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,85000,89999,,Policy,,1
13407,Paul Madden,SCS2,BHC Canberra,Representing British interests in Australia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,85000,89999,,Policy,,1
13408,Andrew Seaton,SCS2,British Consul-General to Hong Kong and Macao,Representing British interests in the Hong Kong Special Administrative Region,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,85000,89999,,Policy,,1
13409,Martin Uden,SCS2,HMA Seoul,Representing British interests in South Korea,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,80000,84999,,Policy,,1
13410,Christopher Wood,SCS2,DHM Beijing,Representing British interests in China,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13400,0,1,80000,84999,,Policy,,1
A,Anthony Cary,SCS2,Corporate Pool,Leave or training between postings,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14100,0,1,85000,89999,,Policy,,1
B,Adrian Davis,SCS2,Corporate Pool,Leave or training between postings,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14100,0,1,90000,94999,,Policy,,1
C,Stuart Jack,SCS2,Corporate Pool,Leave or training between postings,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14100,0,1,85000,89999,,Policy,,1
D,Paul Johnston,SCS2,Corporate Pool,Leave or training between postings,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14100,0,1,90000,94999,,Policy,,1
