"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1479984","Eliminated","OF-6","Joint Air Maritime Organisation (Navy)","To guide and influence Navy and Air Command, so that the force development of the current and future Carrier Strike force is efficient and effective.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","N/A","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1073669","296333","1","N/D","","","Military","Post has been eliminated due to Air Capability Structure Review (CSR) savings.","1"
"1477107","N/D","OF-6","Joint Air Land Organisation (Army)","To provide the focus within the 3 Front Line Commands for Air/Land integration to better support operations.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","7401763","1","N/D","","","Military","","1"
"1073288","N/D","OF-7","Chief Engineer/XO","Plan, focus, direct and sustain HQ Air's support, engineering, logistics and communications to physically assist operational commanders in generating all components of Air Power.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1617513","152907","1","100000","104999","","Military","","1"
"1072729","Air Cdre Doug Gale","OF-6","Assitant Chief of Staff A4","To plan, develop and deliver sustainable engineering & logistic support and A4 Force Elements to operations for AIR in the UK and the expeditionary joint arena, including transformation, policy, manpower and commodities.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1073288","67778034","1","N/D","","","Military","","1"
"1074819","Air Cdre M E West","OF-6","Assistant Chief of Staff Support","To act as AOC for the HQ Air Command Directly Administered Units and to provide internal support services to HQ Air Command.  Specific responsibilities include the introduction of Catering, Retail and Leisure; Landlord and civil personnel services for US Visiting Force Bases; providing a focal point for support and communication for the 6500 RAF personnel within the RAF Diaspora; and the provision of Health & Safety and Environmental Protection advice, assurance and policy interpretation.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1073288","32437713","1","N/D","","","Military","","1"
"1074865","N/D","OF-6","Assistant Chief of Staff A6/DCIS(RAF)","Generating relevant, timely, sustainable, assured and agile mission information solutions across the Air environment in the expeditionary joint arena and the UK.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1073288","23853187","1","N/D","","","Military","","1"
"1071926","N/D","OF-7","Air Officer Commanding 1 Group","To generate and develop winning Combat Air Power for employment on Joint operations and to support the generation, development and sustainment of the RAF's Support Helicopter Force so that they can best meet the JHC Mission","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1617513","3220690","1","100000","104999","","Military","","1"
"1071928","Air Cdre N E Wharmby","OF-6","AO CA","All aspects of current air operations, together with the standards and training required to ensure success.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","207269141","1","N/D","","","Military","","1"
"1366091","N/D","OF-6","Air Officer Battlespace Management","The delivery, sustainment and development of ATC, Space and ASACS capabilities in a combat and peacetime environment and the provision of MOD policy and regulation for RAF ATC on behalf of CINC Air Command.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","44813071","1","N/D","","","Military","","1"
"1072092","N/D","OF-7","Air Officer Commanding 2 Group/Chief of Staff (Operations)","Generate and Develop Effective Combat Support","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1617513","437102","1","100000","104999","","Military","","1"
"1072100","N/D","OF-6","Air Officer AT/AAR","The role of the Air Transport and Air-to-Air Refuelling force is to provide rapid strategic and tactical reach, including airborne delivery, in support of operations and exercises world-wide.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","146645465","1","N/D","","","Military","","1"
"1072102","N/D","OF-6","Air Officer ISTAR","The role of the ISTAR force is Intelligence, Surveillance, Target Acquisition & Reconnaissance on operations and exercises world-wide. The 2 Group ISTAR pillar includes the RAF SAR force, which provides UK Search and Rescue.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","97045415","1","N/D","","","Military","","1"
"1072104","N/D","OF-6","ACOS Force Protection","The role of the RAF Regiment, RAF Police and Joint Chemical, Biological, Radiological and Nuclear Regiment is to provide world-wide force protection.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","138770262","1","N/D","","","Military","","1"
"1071534","N/D","OF-6","Assistant Chief of Staff (Strategy, Policy and Plans)","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","162138","8065519","1","N/D","","","Military","","1"
"1071081","N/D","OF-6","Assistant Chief of Staff (Training)","Deputy to the AOC and responsible for the delivery of training, including timeliness, content and quality.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","22798879","1","N/D","","","Military","","1"
"1072812","N/D","OF-6","Assistant Chief of Staff A1","To provide and develop the administrative support essential to the development, delivery and sustainment of air power. A1 Ops staff oversee the preparation, deployment, sustainment and recovery of personnel on operations and are also responsible for taskng personnel for unestablished commitments and unit assistance. DACOS A1's staff lead on personnel casework matters, whilst DACOS Reserves staff are shaping the future use of the RAF's Reserves as part of the Total Force Concept.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072924","2128911","1","N/D","","","Military","","1"
"162138","Mr G Lester","SCS2","Director Resources, Air Command","To deliver high quality and cohesive resource management and corporate services which support the delivery of Air Command's outputs and uphold accountability to Ministers and Parliament.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071212","31193","1","85000","89999","","Operational Delivery","","1"
"162157","N/D","SCS1","Head Secretariat & Civilian Workforce, HQ Air Command","Commercial and contractural business, providing an interface with Ministers and Parliament and with the public through FoI requests.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","162138","1670567","1","N/D","","","Operational Delivery","","1"
"1422212","Eliminated","SCS1","Deputy Command Secretary Resources HQ Air Command","Planning and management of both finance and civilian personnel resources, the implementation of the Data Protection Act within Air Command and providing assurance that resources are being correctly used.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","N/A","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","162138","5940523","1","N/D","","","Operational Delivery","Post has been eliminated due to Air Capability Structure Review (CSR savings).","1"
"1072923","N/D","OF-6","Assistant Chief of Staff Personnel Policy","Develop and implement employment and disciplinary policies that fit with the needs of our people and the demands of a modern, operational and agile service. ACOS Pers Pol also has the focus for Joint Personnel Administration, Community Support and the derivation of a Stress Management and Resilience Policy.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072924","1088368","1","N/D","","","Military","","1"
"1405168","N/D","OF-6","Assistant Chief of Staff (Manning)","The Primary role of the manning directorate, in apportioning manpower to fill establishments, is to balance the Service need with personal aspirations, within a framework of overall career management. The directorate manages the careers of all officers, non-commissioned aircrew and ground trades personnel.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072924","7729226","1","N/D","","","Military","","1"
"1463923","Air Vice Marshal Morrison","OF-7","Chief of Staff (Capabilities)","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","2391340","1","100000","104999","","Military","","1"
"1479358","N/D","OF-6","Commandant Air Warfare Centre","To provide intelligence led integrated Air and Electronic Warfare Operational mission support to Defence-wide Units.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","39215319","1","N/D","","","Military","","1"
"1027112","N/D","OF-6","Commanding Officer RAF Leuchars","To deliver and maintain UK ability for Quick Reaction to possible air attack in the North with the growth of the Typhoon, whilst supporting other Military Operation, with pride, agility, decisiveness and courage.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","28777500","1","N/D","","","Military","","1"
"1018322","N/D","OF-6","Director of Air Staff","Assisting in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1018042","1966350","1","N/D","","","Military","","1"
"1023653","N/D","OF-6","Commandant RAF College Cranwell","To recruit and select the best potential RAF officers and airmen, and provide initial training and career development training to the highest standards.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","39001565","1","N/D","","","Military","","1"
"1032872","N/D","OF-6","Director Air Cadets","The provision of adequate aviation and other challenging activities to enable the Air Cadet organisation to attract and retain membership and thereby provide example and leadership for the country’s youth.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","7062368","1","N/D","","","Military","","1"
"1040434","N/D","OF-6","Commandant Defence College of Aeronautical Engnineering","Delivery of aeronautical engineering training to Royal Navy, Army and Royal Air Force personnel.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","17316944","1","N/D","","","Military","","1"
"1071170","N/D","OF-6","Director Flying Training","To provide first-class courses covering everything from the fundamental skills of flying through to the successful operation of complex systems.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","53091008","1","N/D","","","Military","","1"
"1071628","Eliminated","OF-6","Assistant Chief of Staff Manpower & Personnel Capability","To direct the development of RAF personnel and to set the manpower requirement, in order to support the people component of operational capability.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","N/A","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071529","1175546","1","N/D","","","Military","","1"
"1110541","N/D","OF-6","Director Defence College of Electro-mechanical Engineering","To deliver the required number of competent and highly motivated technicians and engineers to the Armed Forces.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","1542302","1","N/D","","","Military","","1"
"1664263","N/D","OF-6","Commandant Defence College of Communication and Information Systems","Provides the governance for the delivery of Army, RAF and RN Communication Information Systems training. It also initiates and delivers training and organisational change to support the delivery of training to Servicemen and women who deliver information and communication services on, and in support of, operations.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","1128040","1","N/D","","","Military","","1"
