"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1598314","General Sir Nick Parker KCB CBE","OF-9","Commander Land Forces","Commander Land Forces is to establish Land Force Command integrating the Field Army, the Reserves, the Firm Base, and the JHC; generate land forces for Op HERRICK; generate land forces for other national and overseas operations, including contingency forces; as Standing Joint Commander (UK) provide the military support to national operations, including support to the 2012 Olympic Games; develop a land force collective training strategy; develop Reserve Forces, implementing the recommendations of the 2010 Reserves Commission; integrate the Reserves into a WFC alongside the Regular Army; provide the Firm Base as a foundation for the institutional wellbeing of the Army and its families with necessary supporting functions, including issues enshrined in the Service Personnel Command Paper; and deliver the reduced civil service manpower structure within CLF, minimizing detriment to outputs. Please note that this data should not be used for manpower comparisons. Official MOD data may be found at: http://www.dasa.mod.uk/","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1167535","2097660443","1.00","185000","189999","","Military","Structural change, CinC LF has transformed into Commander Land Forces. In Jan 13 the post will be downgraded to OF-8.","1"
"1255135","Lieutenant General J J C Bucknall CBE","OF-8","Commander Allied Rapid Reaction Corps","COMARRC is to command Operational Command troops within the Allied Rapid Reaction Corps in order to contribute towards the UK military commitment to NATO.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","135000","139999","","Military","","1"
"1591920","Lieutenant General G W Berragan CB","OF-8","Adjutant General","As the Army’s Principal Personnel Officer, the Adjutant General is to: a. Support the delivery of a sufficient number of capable and motivated personnel, b. Lead the Army’s Personnel and Infrastructure Lines of Development, c. On behalf of Defence, provide the policy lead for Children and Young people and the Army’s Cadet Forces. in order to enhance and sustain the operational effectiveness of the Army, now and in the future.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","164054312","1.00","135000","139999","","Military","","1"
"1591926","Lieutenant General J D Page CB OBE","OF-8","Commader Force Development and Training","Commander FDT is to optimise the delivery of Army capability in order to ensure success on operations now and in the future.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1167535","412579238","1.00","135000","139999","","Military","","1"
"1601327","Eliminated","OF-8","Team Leader Army 2020","The Army 2020 Study will be proposing a model for the Army in 2020 designed to deliver against current Military Tasks, yet sufficiently flexible to deliver against future tasks, given a regular Army of 82,000 and a trained reserve of 30,000. The Study’s work will cross all Defence Lines of Development, underpinned by an enduring requirement to deliver the moral, physical and conceptual components of fighting power. Recognising that sustaining the campaign in Afghanistan remains Defence’s Main Effort, a way point for the Study's recommendations will be the Interim Force Structure of 2015 which envisages a regular Army of 89,360 and trained reserve of 30,000.","Ministry of Defence","Ministry of Defence","Army","N/A","LF-Sec-Group@mod.uk","1167535","N/D","0.01","135000","139999","","Military","Liability now deleted.","1"
"00386481","Major General C J Boag CBE","OF-7","General Officer Commanding Support Command","Support Command is to: - Provide the necessary support to the successful delivery of both UK Operations and the execution of Op HERRICK. - Achieve the specified tasks in support of the achievement of Firm Base Outputs - As directed, support the sustainment of the Army's Moral Component in order to deliver success on operations in Afghanistan and at home, and thereafter the Army of the future.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"00472483","Major General N H Eeles","OF-7","General Officer Commanding Scotland","GOC Scotland is to act as the army's principal representative in Scotland. He is to contribute to the development of a sustainable and politically acceptable basing plan for Scotland and, in support of GOC London District, deliver the required level of State Ceremonial and Public Duties in Scotland.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1143047","The Venerable J Woodhouse QHC CF","OF-7","Chaplain General","To give direction and professional advice on Spiritual, Moral and Pastoral needs and assist with the recruitment of chaplains in order to enable CGS to deliver the Army's contribution to current and future defence capabilities","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","95000","99999","","Military","","1"
"1146049","Major General G P R Norton CBE","OF-7","General Officer Commanding London District and Major General The Household Division","To Deliver State Ceremonial and Public Duties in London and Windsor; Force generate and prepare regular and TA force elements; Provide the necessary Firm Base support within boundaries in order to meet CLF’s operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1147829","Major General T P Evans DSO MBE","OF-7","Commandant Royal Military Academy Sandhurst","Train and educate sufficient quality Regular/TA officers and soldiers in order to support the operational requirements of the Army and Defence.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","110000","114999","","Military","","1"
"1151649","Major General S A Burley MBE","OF-7","General Officer Commanding Theatre Troops","the provision of Combat Support (CS) and Combat Service Support (CSS) operations world-wide in support of the UK’s Defence Strategy. GOC Theatre Troops commands approximately 32,000 regular and reserve personnel, and a further 1100 civil servants.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1162954","Major General D M Cullen OBE","OF-7","Chief of Staff Land Forces","Chief of Staff Land Forces is responsible for the command and management of Army HQ including: the coordination of work across all Lines of Development, supported by DG LS&E on the Logistics and Equipment lines; the development and implementation of the LF communications plan in support of Defence and Army communications plans; and driving change and continuous improvement across the HQ.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","12527212","1.00","110000","114999","","Military","","1"
"1167888","Major General J M R Henderson","OF-7","General Officer Commanding British Forces Germany","General Officer Commanding British Forces Germany is to deliver the Firm base, championing overseas support, whilst managing the drawdown in Germany, in order to provide land military capability in the most effective and efficient manner.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1172125","Major General J G Lorimer DSO MBE","OF-7","General Officer Commanding 3 (UK) Division","Contribute to the delivery of Op ENTIRETY to ensure optimal contribution, in all aspects, towards the successful execution of a COIN campaign in Southern Afghanistan. Prepare force elements and individuals for current operations, primarily Afghanistan, and readiness within allocated resources. As directed, contribute to the correct allocation of in-service equipment capability to enable Force Preparation and Generation; manage and maintain equipment allocated to 3 (UK) Div. As directed, deliver the required collective training for all Force Elements assigned to 3 (UK) Div. Improve our service to families, especially during periods when a family member is deployed on operations. Confirm understanding of leadership and discipline standards. Increase and enhance the deployability of soldiers within 3 (UK) Div. When required, allocate Force Elements in support of Army Interoperability and International Security Activities.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1178844","Major General J R Everard CBE","OF-7","Assistant Chief of the General Staff","ACGS’s Mission is to support CGS in his roles, and set the conditions for the Army to contribute to success on operations by influencing MOD decision making, securing resources, converting Defence policy into Army policy, ensuring coherence across the DLoDs – both across the Army and within Arms and Services – and developing the Army of the future.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1167535","38002010","1.00","110000","114999","","Military","","1"
"1227878","Major General J R Chiswell CBE MC","OF-7","General Officer Commanding 1 (UK) Armoured Division","Contribute to the delivery of Op ENTIRETY to ensure optimal contribution, in all aspects, towards the successful execution of a COIN campaign in Southern Afghanistan. Prepare force elements and individuals for current operations, primarily Afghanistan, and readiness within allocated resources. As directed, contribute to the correct allocation of in-service equipment capability to enable Force Preparation and Generation; manage and maintain equipment allocated to 1 (UK) Div. As directed, deliver the required collective training for all Force Elements assigned to 1 (UK) Div. Improve our service to families, especially during periods when a family member is deployed on operations. Confirm understanding of leadership and discipline standards. Increase and enhance the deployability of soldiers within 1 (UK) Div. When required, allocate Force Elements in support of Army Interoperability and International Security Activities.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1232962","Major General B Brealey","OF-7","Director General Capability","DG Capability’s mission is to lead the Army’s, Force Development, Capability Development and Warfare Development effort in order to ensure success on current and future operations.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","110000","114999","","Military","","1"
"1248596","Major General A R Gregory CB","OF-7","Military Secretary","The Military Secretary’s role is to develop, manage and guide the careers of all officers and soldiers, giving due weight to the needs of the Army and the individual, with the overriding purpose of enhancing the operational effectiveness of the Army.  In a nutshell, the Military Secretary supports the Army’s operational effectiveness by matching the right people, regular and reservists, to the right posts, and giving them timely notice","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","110000","114999","","Military","","1"
"1255246","Major General J R Free CBE","OF-7","Chief of Staff Allied Rapid Reaction Corps","Direct and coordinate the staff output within HQ ARRC to optimise the military capability within the Allied Rapid Reaction Corps in order to contribute towards the UK military commitment to NATO.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","110000","114999","","Military","","1"
"1272850","Major General R R Davis CBE","OF-7","Director General Army Recruiting and Training","Deliver the required number of appropriately trained and motivated officers and soldiers in order to meet the current and future operational requirements of the Army and Defence.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","110000","114999","","Military","","1"
"1326100","Major General K A Abraham","OF-7","Director General Army Reform","DGAR is responsible for: enabling the strategic conditions with employers of Reserves to deliver the integrated Army of 2020; shaping Defence Engagement policy across Whitehall to convert the adabptable vision of A2020 into activity; acting as the ambassador for A2020.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1178844","N/D","1.00","110000","114999","","Military","Lifed until Jul 15; liability was previously DG Change Programme","1"
"1596792","Air Vice-Marshal C Dixon CB OBE","OF-7","Commander Joint Helicopter Command","Provide designated Force Elements to conduct and support operations in pursuit of the UK’s Defence Aim.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","272017796","1.00","110000","114999","","Military","","1"
"1598395","Major General R E Nugee CBE","OF-7","Director General Personnel","As the 2* lead for the personnel function in the Army staff, to develop and deliver personnel policies, plans and services, and represent the Army's personnel needs in the tri-Service, Defence and cross-Government arenas in order to sustain and enhance the operational effectiveness of the Army.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","110000","114999","","Military","","1"
"1603663","Major General M D Conway","OF-7","Director General Army Legal Services","The Mission of the Director General of the Army Legal Services, Major General D M Howell CB OBE, is to deliver military legal support to the Army. His tasks include the provision of: - Legal support on discipline and administrative law policy and casework, international and operational law, employment law and legislation. - The Army Board and Complaint Panel with legal military support as the Army's Principal Legal Adviser. - Legal support to AG as the Army Inspector. - Army prosecutors for the Tri-Service Prosecuting Authority. - Legal assistance to Service personnel and their dependants, overseas. - Force generation of ALS personnel (sufficient, motivated, trained) as Service Director and Head of Arm for the ALS.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","110000","114999","","Military","","1"
"1603839","Major General P W Jaques","OF-7","Director General Logistics, Support and Equipment","DG LS&E is to manage the Army's Equipment Capability through life in order to support current and future operations. Main Effort: Ensuring that our operational commanders are resourced with the equipment capability that they need to succeed.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","110000","114999","","Military","","1"
"1606780","Major General E B Carmichael MBE QHDS","OF-7","Director General Army Medical Services","DGAMS monitors and assesses the health of the Army to assist DG Pers in the provision of Health Policy. He provides a policy oversight and assurance for CINC in the generation and delivery of medical operational capability. He is directly responsible for the provision of primary care services to the Army and community mental health services to defence. As the CAA&I, he also provides assurance of healthcare delivered by others, including on operations and at Role 4, Secondary Healthcare, Rehabilitation, Dental and Veterinary Services.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","110000","114999","","Military","","1"
"00919010","N/D","OF-6","Director Land Warfare","Director Land Warfare is to lead Warfare Development involving: a. The production and advocacy of relevant Tactical Doctrine. b. The systematic utilization of experience. c. Driving the learning of lessons pan capability and Defence Lines of Development. d. Ensuring individual and collective training is teaching what they should. e. The provision of a reach-back focus for deployed/deploying formations and units.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","N/A","","","Military","","1"
"1140683","N/D","OF-6","Commander 12 Mechanised Brigade","Comd 12 Mech Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 12 Mech Bde. Increase and enhance the deployability of soldiers within 12 Mech Bde.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1146077","N/D","OF-6","Deputy Commander London District","Support GOC London District in delivering principal London District outputs and achieving the London District Mission.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1149069","N/D","OF-6","Commander 2 Signal Brigade","Comd 2 Sig Bde is to deliver specialist Information Communication Services at endorsed readiness in order to enable effective command and control of Expeditionary, OGD and UK Operations.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1149947","N/D","OF-6","President Army Officer Selection Board","The Army Officer Selection Board is responsible for the selection of Potential Officers for training and education to command soldiers in peace and operations and for specialist functions within the Army. The Army Officer Selection Board (AOSB) is based at Westbury in Wiltshire and is responsible for the assessment and selection of all Regular, Territorial Army and Professionally Qualified Officers","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1147829","N/D","0.01","N/A","","","Military","Captured within junior staff","1"
"1167034","N/D","OF-6","Commander 2 (South East) Brigade","2 (South East) Brigade is the Regional formation of the Army in the South East of England, part of the Support Command. The Brigade is to provide the necessary Firm Base support within boundaries including British Gurkhas Nepal and Brunei Garrison, in order to meet CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1167141","N/D","OF-6","Commander 102 Logistics Brigade","Comd 102 Log Bde is to command OPCOM troops and prepare, maintain and when ordered, deploy designated Force Elements in order to provide Joint Force Suppport and, if necessary, Land Component 3rd Line Logistic capability.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1167292","N/D","OF-6","Commander 51 (Scottish) Brigade","51 (Scottish) Brigade is to provide and manage effectively Infrastructure Support, Military Capability, Representation and resources within Scotland. The Brigade is to provide the necessary Firm Base support within boundaries in order to meet in CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1167722","N/D","OF-6","Director Rectruit Training (Operations)","Plan and execute the Army’s national recruiting campaign. Provide functional support and co-ordination to the regional chain of command executing the regional element of the Army’s national recruitment campaign. Deliver the required number of appropriately trained and motivated service personnel. Direct and manage the recruiting, development, selection and training pipeline.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","N/A","","","Military","","1"
"1167986","N/D","OF-6","Commander 7 Armoured Brigade","Comd 7 Armd Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 7 Armd Bde. Increase and enhance the deployability of soldiers within 7 Armd Bde.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1168111","N/D","OF-6","Commander 143 (West Midlands) Brigade","143 (WM) Brigade covers the West Midlands. It provides the necessary Firm Base support wihtin boundaries in order to meet CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1168154","N/D","OF-6","Commander 160 (Wales) Brigade","160 (Wales) Brigade is to provide the necessary Firm Base support within Wales in order to meet CLF’s operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1168245","N/D","OF-6","Commander 42 (North West) Brigade","42 (North West) Brigade is the regional brigade which looks after the Army's interests in North West England and the Isle of Man. The Brigade is to provide the necessary Firm Base support within boundaries in order to meet in CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1168553","N/D","OF-6","Commander 43 (Wessex) Brigade","43 (Wessex) Brigade is the Army Regional formation in the South West of England. It provides the necessary Firm Base support within boundaries in order to meet CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1168742","N/D","OF-6","Commander 49 (East) Brigade","49 (East) Brigade covers East Midlands and East Anglia. The brigade is responsible for providing the necessary Firm Base support within boundaries in order to meet CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1169246","N/D","OF-6","Commander 20 Armoured Brigade","Comd 20 Armd Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 20 Armd Bde. Increase and enhance the deployability of soldiers within 20 Armd Bde.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1169362","N/D","OF-6","Commander 4 Mechanised Brigade","Comd 4 Armd Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 4 Armd Bde. Increase and enhance the deployability of soldiers within 4 Armd Bde.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1170393","Eliminated","OF-6","Brigadier Equipment Strategy (Army)","BES(A) is responsible for the Army Equipment Strategy. He represents the Army ‘User’ for equipment capability management and planning in order to sustain the Army’s capability to fi ght at all scales of effort and at the highest intensity as required within Defence Planning Assumptions. BES(A) supports Army HQ in capability delivery as required.","Ministry of Defence","Ministry of Defence","Army","N/A","LF-Sec-Group@mod.uk","1178844","N/D","0.01","N/A","","","Military","Liability already deleted.","1"
"1172331","N/D","OF-6","Commander Artillery 3 (UK) Division","Comd Arty 3 (UK) Div is to command OPCOM troops, prepare and deliver force elements within the Divisional Artillery Group and facilitate the planning and delivery of all Fires, Targeting and Air-Land Integration activity within 3 (UK) Div.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1173817","N/D","OF-6","Army Inspector","The Army Inspector is the 1* conscience of the Army and reports directly to CGS. His mission is: ‘to ensure appropriate assurance and regulation for all Army activity across Defence, in order to enhance and sustain the operational effectiveness and reputation of the Army, now and in the future’.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1178844","N/D","1.00","N/A","","","Military","","1"
"1174823","N/D","OF-6","Brigadier General Staff","The General Staff’s Mission is to formulate policy for the Army, as directed by the Chief of the General Staff, and communicate that policy as authoritative direction for execution by the Army.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1178844","N/D","1.00","N/A","","","Military","","1"
"1178769","N/D","OF-6","Commander 145 (South) Brigade","145 (South) Brigade is the Army Regional formation in the South of England, and it forms part of the 4th Division in Regional Forces. It provides the necessary Firm Base support within boundaries in order to meet CLF's operational requirements and wider Defence needs.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
"1186684","N/D","OF-6","Chief of Staff Personnel and Support Command","Direct and coordinate the staff output within PSC in order to support the generation of operational capability.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","N/A","","","Military","","1"
"1212786","N/D","OF-6","Commander Defence College of Logistics & Personnel Administration","Deliver integrated logistic support and personnel administration training to all four services to the quantity and standards directed by the TDA and TRA in order to support the operational requirements of Defence. Furthermore, Garrison Commander for Deepcut, Pirbright and Mychett.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591926","N/D","1.00","N/A","","","Military","","1"
"1213000","N/D","OF-6","Director Army Primary Health Care Service","DAPHCS is responsible for delivering a safe and effective primary healthcare service to the Regular Army in the UK in order to enhance and sustain the operational effectiveness of the Army.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","N/A","","","Military","","1"
"1215776","N/D","OF-6","Commander 19 Light Brigade","Comd 19 Lt Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 19 Lt Bde. Increase and enhance the deployability of soldiers within 19 Lt Bde.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","Liability will be deleted on 31 Mar 13.","1"
"1217095","N/D","OF-6","Commander 104 Logistics Support Brigade","Comd 104 Log Sp Bde is to command OPCOM troops and prepare, maintain and when ordered, deploy designated Force Elements in order to provide Joint Force Suppport and, if necessary, Land Component 3rd Line Logistic capability.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/A","","","Military","","1"
