"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"174902","N/D","OF-6","Head of Deterrent and Underwater Capability","Responsible for the delivery of a UK operationally independent, continuous and invulnerable strategic nuclear deterrent; providing support to the Senior Responsible Officer for the deterrent and ensure's that the many projects in the deterrent area are managed as a coherent programme.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1105905","1085382","1","0","0","","Military","","1"
"1047516","N/D","OF-6","Head of Expeditionary Logistic & Support Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deploy and redeploy a force to a theatre of operations and to support and sustain it for the duration of operations.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1431838","994100","1","0","0","","Military","","1"
"1047464","N/D","OF-6","Head of Ground Manoeuvre Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deliver decisive close combat effects in the land close battlespace.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1431838","1159917","1","0","0","","Military","","1"
"1567623","N/D","OF-6","Head of Intelligence Surveillance Acquisition & Reconnaissance Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to provide accurate, timely and appropriate information and intelligence capabilities, and deliver influence and information effects through information operations.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1565824","1233496","1","0","0","","Military","","1"
"1047497","N/D","OF-6","Head of Resources and Plans Joint","Resource planning for Joint Forces Command and Head Office","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055224","660401","1","0","0","","Military","","1"
"126796","N/D","OF-6","Head of Resources and Plans Army","Resource planning for Army","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055224","767570","1","0","0","","Military","","1"
"1055232","N/D","OF-6","Head of Resources and Plans Air","Resource planning for Air","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055224","691355","1","0","0","","Military","","1"
"1055721","N/D","OF-6","Head of Strategy Management","Responsible for Capability coherence, force structure and performance management","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055224","1436484","1","0","0","","Military","","1"
"1106793","N/D","OF-6","Head of Resources and Plans Navy","Resource planning for Joint Forces Command and Head Office","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055224","765888","1","0","0","","Military","","1"
"00111789","Mark Preston","SCS2","Director Business Resilience (DBR)","Director Business Resilience (DBR) is the Process Owner for Security and Business Continuity. DBR is responsible for setting policy and standards for MOD in these areas and monitoring their implementation and risk management. Key areas of policy activity include: Security (including Physical, Defence Policing, Personnel, Industrial and Scientific & Technical) and Business Continuity. DBR also manages all aspects of common law compensation claims made against the Department.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00179598","0","1","85000","89999","","Policy","Added to Position 00005654","1"
"00111791","N/D","SCS1","DBR-Head of Defence Security Policy","Head of Defence Security and Resilience (DBR-DefSY) is responsible for developing, promulgating and monitoring the Department’s protective security policy and standards; advising Ministers and senior officials on the political, presentational and legal aspects of protective security policy; supporting the Director Business Resilience as Security Process Owner and in providing assurance to the DAC that security risks are being effectively addressed or managed. Responsibilities cover personnel security (including vetting); leak investigations; policing policy & physical security (including guarding); nuclear security & safety (including nuclear accident response); and technical and international security issues (including the security relationship with industry).This role also has responsibility for Business Continuity (including pandemic flu policy and planning).","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111789","1279631","1","0","0","","Policy","","1"
"00111800","N/D","SCS1","DBR-Head of Common Law Claims & Policy","Head of DBR-Common Law Claims & Policy (DBR-CLC&P) is primarily responsible for processing common law, non-contractual, compensation claims against and on behalf of the MOD at home and overseas emanating from Employers Liability (Service and Civilian), Public Liability, Low Flying military aircraft, Maritime and Clinical Negligence. DBR-CLC&P also has responsibility for providing claims policy advice to Ministers and senior officials; handling claims against foreign forces based in the UK in accordance with NATO SOFA; providing advice on insurance and indemnities, and as Role Owner for Area Claims Officers in operational theatres. The annual claims budget is approx £100M.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111789","508188","1","0","0","","Other","","1"
"197658","Mike Stone","SCS2","Chief Executive Defence Business Services","Responsible for Serving the MOD through one service delivery organisation managed through one top management structure. The pillars in this new organisation: Civilian HR, Finance, Information services, Business Management, Programme Management and National Security Vetting","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00106000","2752780","1","0","0","","Human Resources","","1"
"194546","N/D","SCS1","Head of Defence Buiness Services Finance","Defence Business Services (DBS) Finance provides expert information, advice and services to and on behalf of MOD business areas. Responsible for payments to MOD suppliers and for recovering in respect of MOD invoices. Also Responsible for generating the associated accruals, debtors, and creditors in the Departmental Financial Management System and accounting for MOD’s fixed assets. Focused on central transaction processing and leading the simplification of financial processes, allowing MOD to concentrate on value added activities","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","197658","7926810","1","0","0","","Finance","","1"
"153965","N/D","SCS1","Head of Human Resources Service Delivery","DBS Civilian HR provides a full range of civilian human resources and pay services to Defence, its civilian staff and their managers","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","197658","14904693","1","0","0","","Human Resources","","1"
"106013","N/D","SCS1","Head of Defence Business Services Information Services","Delivers information and data management and communication services which support Defence","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","197658","8650549","1","0","0","","Information Technology","","1"
"104025","N/D","SCS1","Head of National Security Vetting","Responsible for processing National Security Vetting (NSV) checks and clearances. Including Counter Terrorist Check (CTC), Security Check (SC) and Developed Vetting (DV).","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","197658","8373358","1","0","0","","Other","","1"
"191185","AM T Anderson","OF-8","Director General Military Aviation Authority","The Director General of the Military Aviation Authority has full oversight of all Defence Aviation activity, and is the single regulatory authority responsible for regulating all aspects of Air Safety across Defence. He achieves this through establishing and maintaining an appropriate regulatory framework, given effect by a certification, approvals and inspection process extending across the acquisition, operation and continued airworthiness of air systems within the Defence aviation environment, and by independant surveillance of relevant Departmental planning and programming processes. The Director General provides assurance to the Secretary of State for Defence through the Second Permanent Under Secretary of State that high standards of Air Safety are maintained in the conduct of military aviation. He attends the Defence Environment and Safety Board, but, as an independant Regulator, is not formally accountable to it. The Director General is the Convening Authority for all Service Inquiries into military aircraft occurrences.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00109715","3065548","1","130000","134999","","Military","","1"
"191191","R Adm S Charlier","OF-7","Director Operations Military Aviation Authority","Member of the MAA Executive Board. Lead and direct the Operations Group of the MAA; overseeing coherent regulation and safe conduct of all military flying operations and acting as operating regulatory lead with FLCs, DE&S and Industry; link to OGDs and Agencies outside Government on aviation operating matters, including international liaison. In addition he is charged with continuously improving and transforming the organisation to fully meet the role of independent regulator.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","191185","0","1","110000","114999","","Military","Added to Position 191185","1"
"185281","Air Cdre Clark","OF-7","Director Technical Military Aviation Authority","Member of the MAA Executive Board. Lead and direct the Technical Group of the MAA; technical regulatory lead with FLCs, DE&S and Industry; link to OGDs and Agencies outside Government on aviation operating matters, including international liaison.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","191185","0","1","110000","114999","","Military","Added to Position 191185","1"
"191217","Vacant","OF-6","Head Oversight & Approvals Military Aviation Authority","MAA Oversight and Approvals regulates, on behalf of DG MAA, the operation of all aircraft registered as UK Military Aircraft (manned and unmanned) covering all aerial activities of FLCs, DE&S and contractors’. MAA O&A regulation activities also extend to Military Registered Civil-Owned Aircraft (MRCOA). In addition, a key output is the contribution to assurance of the airworthiness of aviation on the UKMR through airworthiness organisation and key individual approvals.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","N/A","HOCSFIN-HeadGroupMailbox@mod.uk","185281","3761501","1","0","0","","Military","","1"
"164078","N/D","SCS1","Head Analysis & Plans Military Aviation Authority","The maintenance and promulgation of the MoD’s through-life Airworthiness Regulations, Standards and associated publications. Regulation and Policy publication coherence. Take the lead for the harmonization of airworthiness across European military authorities. Develop the MAA approach to Risk Management. Responsible for the end-to-end output of AUP considering the full spectrum of the Military Air Environment. Exploit Air Safety knowledge assessing performance and risk to develop an evidence based prioritized plan pan MAA.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","191191","1642778","1","0","0","","Programme and Project Management (PPM)","","1"
"191196","Vacant","OF-6","Head Certification & Regulation Military Aviation Authority","Regulation. The development, maintenance and promulgation of the MOD’s through-life Flying, ATM, Design and Continuing Airworthiness Regulations, Standards and associated publications; includng translation of MAA policy into the regulatory framework, regulatory review and risk assessment, and consideration of regulatory change, alternative AMC, waiver and sanction activity. Certification. The Certification of all new UK military registered air systems and major changes to type designs, assurance of aircraft structural, propulsion and systems integrity management, the sponsorship, management and maintenance of UK aircraft design and airworthiness standards, and asurance of the safety of ships' aviation facilities. In addition, providing SME input to the development and maintenance of regulation covering all the areas of Certification business.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","N/A","HOCSFIN-HeadGroupMailbox@mod.uk","185281","3260111","1","0","0","","Military","","1"
"00111797","John Taylor","SCS2","Chief Information Officer (CIO)","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00179598","1020124","1","110000","114999","","Knowledge and Information Management (KIM)","","1"
"00111801","N/D","SCS1","CIO-Corporate Information-Head","Set policy on records management, provide a corporate memory analysis service and set policy and standards for implementing the Freedom of Information Act, Data Protection Act and Environmental Information Regulations within Defence.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111797","1231926","1","0","0","","Knowledge and Information Management (KIM)","","1"
"00136404","N/D","SCS1","CIO-Corporate Services Systems Convergence Programme-Head","To programme manage the Corporate Services Systems Convergence programme in order to achieve better value for money decision making, faster payment; faster information flows and reducing the overall cost of running the complete end to end processes.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111797","323292","1","0","0","","Knowledge and Information Management (KIM)","","1"
"00111803","N/D","OF-6","CIO-Information Strategy & Policy-Head","Develop and maintain the MOD Information Strategy, the Defence ICT Strategy and their supporting Strategic Implementation Plans.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111797","1992164","1","0","0","","Military","","1"
"00111804","N/D","OF-6","CIO-J6-Head","MOD operations adviser, military planning, direction and prioritisation of joint communication systems","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111797","1634155","1","0","0","","Military","","1"
"00111794","N/D","SCS1","CIO-Defence Security and Assurance Services-Head","Providing independent assessment, expertise and advice to meet the UK’s National and International Defence objectives.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00111797","4361998","1","0","0","","Knowledge and Information Management (KIM)","","1"
"139073","Miss FC Nash","SCS2","Director Central legal Services","Director Central Legal Services reports to the Director General Transformation & Corporate Services and is the primary source of legal advice to Defence and Ministers. Responsibilities include: Being the single source for coordinated and authoritative legal advice on the whole range of Defence business; Providing high quality legal advice and services meeting the needs of Defence in delivering the Defence Vision; Playing an active role in promoting and representing Defence legal interests in dealings with other Government departments in Whitehall; Playing an active role in promoting and representing Defence legal interests internationally and with counterparts in other states;Being a member of the Investment Approvals Board.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00179598","731907","1","95000","99999","","Law","","1"
"139083","N/D","SCS1","Head of Operational International Humanitarian Law Division","tional law relating to overseas military operations including the Department’s main effort in Afghanistan, and over the last year in relation to the Libya campaign. This includes use of force including targeting and ROE, general IHL issues (including emerging areas such as cyber law), weapons issues including nuclear, maritime operations, and drafting/negotiating treaties and MOUs with other states. In addition, we provide advice on the difficult legal and policy issues raised by the court challenges to operations in Iraq and Afghanistan and have often taken the lead in providing strategic direction on handling and tactics.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","139073","0","1","0","0","","Law","Added to Position 139073","1"
"139085","N/D","SCS1","Head of Corporate Strategy Law Division","The Corporate Strategy  Law  Division advises on issues arising out of the MOD's transformation strategy, for example on governance issues and the need for legislation as well as the proposals on the future structure of the Armed Forces both the Regular and the Reserve Forces.   It also advises more generally on personnel-related policies, including the development of the redundancy programmes; casework, which concerns such diverse subjects as pay and discrimination issues, discipline and grievance, Armed Forces Compensation Scheme, war pensions and pensions casework and the AFPS projects.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","139073","860883","1","0","0","","Law","","1"
"139084","N/D","SCS1","Head of Commercial Law Division","The Commercial Law Division advises across all TLBs within the Department on all aspects of Commercial Law, including contract drafting, contract disputes, the EU and UK Regulatory environment (including Procurement, State Aids, Competition Law and TUPE), International agreements and contracts and also encompasses a Property Law team, which provides advice on aspects of Defence Estates work. The team is also responsible for managing MOD’s panel of external commercial lawyers and servicing the legal elements of CADD’s due diligence activities and the Investment Approvals Committee.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","139073","2137273","1","0","0","","Law","","1"
"139086","N/D","SCS1","Head of General Law Division","The General Law Division advises ministers, senior policy and military personnel on a wide range of legal issues including: public inquiries (including Iraq; Gibson; Al Sweady and Northern Ireland inquiries);  inquests; human rights issues; the doctrine of combat immunity; MOD’s overseas interests (Gibraltar and the Sovereign Base Areas in Cyprus); visiting and reserve forces; data protection; freedom of information; negotiating and advising on non-operational international agreements; property, planning and environmental issues; aviation; healthcare; charities and trusts; health and safety legislation; policing law; the regulation of dockyard ports; byelaws relating to MOD property; devolution issues. The team deals with Bill work in these areas and drafts any secondary legislation necessary. The team also advises on sensitive and high profile litigation and inquests.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","139073","0","1","0","0","","Law","Added to Position 139073","1"
"139074","N/D","SCS1","Head of Command, Discipline & Constitutional Division","The work of the Command, Discipline & Constitutional Division includes working on the Armed Forces Bill and on subordinate legislation and working closely with other Government Departments where MOD legislation affects an OGD, or an OGD proposes legislation in which the MOD has an interest.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","139073","509523","1","0","0","","Law","","1"
"0000057","N/D","SCS1","Head of Intellectual Property Rights","Defence Intellectual Property is responsible for MOD intellectual property Policy. It manages the Departments Crown Copyright delegation from the Office of Public Sector Information, files and manages the MoDs portfolio of Patents, trademarks, and Designs, licensing the same in support of departmental branding effort and wider markets income generation. It also advises all TLB on the application of IPR in contracts, Treaties, MOUs and other international arrangements. FIPR is also responsible for defending MoD against allegations of infringing the Intellectual property of others, and for prosecuting any infringement of the MoDs IP.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","139073","1410549","1","0","0","","Law","","1"
"1062831","N/D","OF-6","Air Attaché","Performs the duties of both the Air Attach","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1062827","0","1","0","0","","Military","Added to Position 1062827","1"
"196733","Rear Admiral John Gower","OF-7","Assistant Chief of Defence Staff (Nuclear and Chemical and Biological)","formulation of strategic planning advice to COS and ministers, MOD’s 2* policy lead for CBRN, and Arms, Counter Proliferation.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","140333","0","1","110000","114999","","Military","Added to Position 140333","1"
"1055692","Air Vice Marshal Bob Judson","OF-7","Assistant Chief of Defence Staff Operations","Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations; Defence Crisis Management Organisation process;Joint Capability; Middle East/Central America/South America (inc Peru, Colombia, Ecuador, Venezuela)","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055683","0","1","110000","114999","","Military","Added to Position 1055683","1"
"00144814","N/D","SCS1","Counsellor Defence Acquisition and Technology","Responsible for the management and direction of a team of civilian and military staff organized as a Defence Equipment team, a Science and Technology team and a Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) team. Together their responsibilities include: support to operations; delivery of a step change in the US-UK science and technology relationship; development of the US-UK Bilateral Defence Acquisition Committee; support to UK capability procurement and development; and support to UKTI objectives for the US.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1062827","0","1","0","0","","Policy","Added to Position 1062827","1"
