"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1166821","N/D","OF-6","Deputy Director Service Prosecutions","Support the provision of independent, efficient and consistent consideration of criminal cases and offences contrary to military discipline.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","0179774","0","1.00","95000","99999","","Military","","1"
"1448387","Kathy Barnes","SCS2","Chief Executive Service Personnel & Veterans Agency","SPVA provides harmonised personnel administration services and accurate payment of pay, allowances and pensions to the serving and Veterans communities.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1056166","53225","1.00","95000","99999","","Operational Delivery","","1"
"1118144","N/D","OF-6","Head of Strategy & Programmes","The Strategy & Programmes (S & P) Directorate’s role is to assist the achievement of the Agency Aim through the effective identification, programming and delivery of new change requirements, in conjunction with EDS, in order to meet legislative, Service Policy and efficiency requirements.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1448387","1558018","1.00","95000","99999","","Military","","1"
"105357","N/D","SCS1","Head of Veteran's Services","Veterans Services are responsible for the assessment, award, payment and maintenance of all pensions relating to service in the Armed Forces.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1448387","13051221","1.00","65000","69999","","Operational Delivery","","1"
"110710","N/D","SCS1","Head of Corporate Services","The Corporate Services area is responsible for delivering the corporate enabling functions which are vital to ensuring that SPVA business outputs are met.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1448387","2533738","1.00","65000","69999","","Operational Delivery","","1"
"1448407","N/D","OF-6","Head of Military Services","Responsible for military pay, allowances and expenses, the MOD Medal Office and the Joint Casualty and Compassionate Centre.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1448387","5449720","1.00","95000","99999","","Military","","1"
"1063013","Mr Peter Watkins","SCS3","DEFAC-HQ-DIRECTOR GENERAL","Head of the Defence Academy of the United Kingdom","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","104016","1556709","1.00","110000","114999","","Military","","1"
"1062997","Air Vice Marshall Ray Lock","OF-7","DEFAC-JSCSC HQ COMDT","Head of the Joint Services Command and Staff College at the Defence Academy","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","630422","1.00","110000","114999","","Military","","1"
"154906","Mr Carl Mantell","SCS2","DEFAC-CMT-HQ DIRECTOR","Head of the College of Management and Technology at the Defence Academy","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","2022869","1.00","90000","94999","","Internal Audit","","1"
"116270","Mr Charles Styles","SCS2","DEFAC-RCDS-COMMANDANT","Head of the Royal College of Defence Studies at the Defence Academy","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","0","1.00","100000","104999","","Internal Audit","","1"
"109484","Mr Jeremy Jarvis","SCS2","DEFAC-RCDS-SDS 1","Royal College of Defence Studies - Director of Studies and a Senior Directing Staff","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","116270","0","1.00","80000","84999","","Internal Audit","","1"
"1063006","Air Vice Marshall Brian Bates","OF-7","DEFAC-RCDS-SDS 4","Royal College of Defence Studies - Senior Directing Staff","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","0","1.00","110000","114999","","Military","","1"
"1128035","Rear Admiral Simon Williams","OF-7","DEFAC-RCDS-SDS 3","Royal College of Defence Studies - Senior Directing Staff and Deputy Head of the College.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","762547","1.00","110000","114999","","Military","","1"
"1241543","Major General Andrew Kennett","OF-7","DEFAC-RCDS-SDS 2","Royal College of Defence Studies - Senior Directing Staff","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","0","1.00","110000","114999","","Military","","1"
"108528","N/D","SCS1","DEFAC-CMT-AB-HEAD","Head of Acquisition and Business Learning within the College of Management and Technology","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","154906","4765565","1.00","65000","69999","","Internal Audit","","1"
"1063009","N/D","OF-6","DEFAC-CMT-LMD HEAD","Head of the Leadership and Management Division within the College of Management and Technology","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","154906","1250874","1.00","95000","99999","","Military","","1"
"70503","N/D","SCS1","DEFAC-CMT-ND HEAD","Head of the Nuclear Division within the College of Management and Technology","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","154906","1048411","1.00","65000","69999","","Operational Research","","1"
"1239190","N/D","OF-6","DEFAC-CMT-TD HEAD","Head of the Technology Division within the College of Management and Technology","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","154906","2481086","1.00","95000","99999","","Military","","1"
"1240790","N/D","OF-6","DEFAC-JSCSC ARMY DIV DIR","Head of the Army training course within the Joint Services Command and Staff College","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1062997","2827976","1.00","95000","99999","","Military","","1"
"1063002","N/D","OF-6","DEFAC-JSCSC HQ ACOMDT AIR","Deputy Head of the Joint Services Command and Staff College and responsible for Air Force Training within the College.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1062997","2323533","1.00","95000","99999","","Military","","1"
"1239811","N/D","OF-6","DEFAC-JSCSC HQ ACOMDT LAND","Responsible for Army Training within the College.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1062997","0","1.00","95000","99999","","Military","","1"
"1117089","N/D","OF-6","DEFAC-JSCSC HQ ACOMDT MAR","Responsible for Navy Training within the College & Advanced Command and Staff Course","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1062997","4081604","1.00","95000","99999","","Military","","1"
"184546","N/D","SCS1","HEAD STRATEGIC PLANNING","Head of a strategic planning course at the Royal College of Defence Studies","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","116270","0","1.00","65000","69999","","Internal Audit","","1"
"1507723","N/D","OF-6","DEFAC-HQ-COS","Leads the Defence Academy Headquarters, supports and deputises for the Head of the Defence Academy","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1063013","2879601","1.00","95000","99999","","Military","","1"
"1055688","N/D","OF-6","DOC-Head","Produce Defence Operational Lessons and conduct Audit of Defence capability","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","109715","481725","1.00","95000","99999","","Military","","1"
"109838","N/D","SCS1","Defence Science & Technology Chief Scientific Adviser's Strategic Adviser","Provide strategic advice and lead/implement/review major change projects","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105230","0","1.00","65000","69999","","Science and Engineering","","1"
"105234","Peter Sankey","SCS2","Defence Science & Technology Strategic Technologies Director","Responsible for delivery of MOD’s nuclear warhead and propulsion research programmes, including specific responsibilities as Senior Responsible Owner and central customer for the Nuclear Warhead Capability Sustainment Programme.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105227","1693480","1.00","100000","104999","","Science and Engineering","","1"
"178447","Vacant","SCS1","Defence Science & Technology Strategic Technologies Head","Responsible for the development of technical programmes to deal with emerging Chemical Biological Radiological Nuclear (CBRN) threats; defeating chemical and biological agents, and all aspects of technical support to CBRN counter-terrorism.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","N/A","CTLBSDM-groupmail@mod.uk","105230","990606","1.00","65000","69999","","Science and Engineering","","1"
"105230","Dr Bryan Wells","SCS2","Defence Science & Technology Strategy Director","Supports the Defence Research and Development (R&D) Board in defining R&D and Science & Technology strategy and policy in order to effectively manage the Research Programme.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105227","3654158","1.00","85000","89999","","Science and Engineering","","1"
"191185","AM T Anderson","OF-8","Director General Military Aviation Authority","The Director General of the Military Aviation Authority has full oversight of all Defence Aviation activity, and is the single regulatory authority responsible for regulating all aspects of Air Safety across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","104016","1336209","1.00","135000","139999","","Military","","1"
"191191","R Adm S Charlier","OF-7","Director Operations Group Military Aviation Authority","Director Operations Group is responsible for the regulation and assurance of Defence Aviation flight operations and air traffic management. He publishes and keeps current the associated Military Aviation Regulatory Document Set.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","191185","72751","1.00","110000","114999","","Military","","1"
"185281","AVM C Ness","OF-7","Director Technical Group Military Aviation Authority","The Director Technical Group is the MOD focal point for aviation technical regulation, certification and approvals and the associated assurance systems.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","191185","31932","1.00","110000","114999","","Military","","1"
"191217","N/D","OF-6","Head Operations Group Military Aviation Authority","Head Operations Group is the Deputy of Director Operations Group, responsible for the regulation and assurance of Defence Aviation flight operations and air traffic management. He leads Operations Group planning and execution of assurance activity, assessing regulatory compliance through audit and inspection.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","191191","4176459","1.00","95000","99999","","Military","","1"
"164078","N/D","SCS1","Head Technical Regulations Division Military Aviation Authority","Responsible for the development, maintenance and promulgation of the MoD’s through-life Airworthiness Regulations, standards and associated publications, management of the Military Aircraft register, regulation and Policy publication coherence and maintaining, developing and promulgating converged tri-Service engineering policies and regulations for equipment within the Military Air Environment .","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","185281","4620305","1.00","65000","69999","","Programme and Project Management (PPM)","","1"
"104016","Jonathan Day","SCS4","2nd Permanent Undersecretary","2nd Permanent Undersecretary","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","005654","347881","1.00","140000","144999","","Policy","","1"
